Node,WiD1,WiD2,WiD3
1506,2,15,238
1507,8,84,728
1508,5,56,569
1509,3,78,645
1510,5,21,174
1511,4,29,380
1512,8,223,2498
1513,3,41,553
1514,3,41,321
1515,2,16,210
1516,2,96,1053
1517,4,33,258
1518,5,71,791
1519,9,47,756
1520,2,64,653
1521,4,28,382
1522,3,33,380
1523,2,47,469
1524,4,32,278
1525,3,78,888
1526,2,52,614
1527,2,34,280
1528,7,50,383
1529,2,33,300
1530,4,56,477
1531,7,91,1070
1532,7,110,1214
1533,3,43,351
1534,6,28,449
1535,7,147,1403
1536,5,26,254
1537,4,65,447
1538,5,52,608
1539,6,34,276
1540,6,24,259
1541,4,24,192
1542,2,16,98
1543,4,35,221
1544,2,16,252
1545,2,165,1922
1546,9,51,451
1547,8,34,256
1548,2,23,240
1549,4,23,330
1550,7,65,943
1551,5,92,830
1552,5,58,442
1553,10,66,527
1554,8,49,509
1555,6,43,308
1556,10,231,2570
1557,2,128,1128
1558,6,30,163
1559,4,119,1288
1560,3,53,752
1561,3,39,431
1562,4,204,2221
1563,4,29,194
1564,4,299,2812
1565,7,61,437
1566,2,46,650
1567,3,37,545
1568,2,25,151
1569,3,116,1570
1570,2,45,365
1571,2,142,1960
1572,3,33,483
1573,3,115,1020
1574,2,46,408
